200122093422|adminmarga|http://localhost/etc_cms/login|login|{"username":"adminmarga"}|{"code":"1","message":"Login success. "}|::1
200122104843|adminmarga|fare_management/fare/saveChange|Change Fare For Route|{"route_code":"RTC100004","golongan1":"3400","golongan2":"3400","golongan3":"4300","golongan4":"3400","golongan5":"3400","golongan6":"3200","file_name":"oke","fare_status":2,"fare_start_time":"2020-01-23 00:00","created_by":"adminmarga","fare_operator":"10"}|{"code":1,"message":"Data Fare Successfull Saved"}|::1

200122105404|adminmarga|fare_management/fare/saveApprove|set End Time|{"fare_status":"1","remark":"oke","approve_by":"adminmarga","approve_on":"2020-01-22 10:54:04"}|{"code":1,"message":"Data Succesfull Saved"}|::1

200122105544|adminmarga|fare_management/fare/saveImport|ADD Fare For Route|{"file_name":"okela","route_code":"RTC100004","golongan1":"2000","golongan2":"3000","golongan3":"4000","golongan4":"5000","golongan5":"6000","golongan6":"7000","fare_status":2,"fare_start_time":"2020-01-23 00:00","fare_operator":"10","created_by":"adminmarga"}|Sukses menyimpan Data|::1

200122105544|adminmarga|fare_management/fare/saveImport|ADD Fare For Route|{"file_name":"okela","route_code":"RTC100005","golongan1":"1000","golongan2":"2000","golongan3":"3000","golongan4":"4000","golongan5":"4400","golongan6":"3200","fare_status":2,"fare_start_time":"2020-01-23 00:00","fare_operator":"10","created_by":"adminmarga"}|Sukses menyimpan Data|::1

200122105554|adminmarga|fare_management/fare/saveApprove|set End Time|{"fare_status":"1","remark":"","approve_by":"adminmarga","approve_on":"2020-01-22 10:55:54"}|{"code":1,"message":"Data Succesfull Saved"}|::1

200122105613|adminmarga|fare_management/fare/saveApprove|set End Time|{"fare_status":"-5","remark":"okelahhh kita coba remark","approve_by":"adminmarga","approve_on":"2020-01-22 10:56:13"}|{"code":1,"message":"Data Succesfull Saved"}|::1

200122115106|adminmarga|operator_management/segment/getProvince/433e2e891d83d9517dce74b0c064665e0348d4c93fbbc3f3c2d7b627f4927fab08883bd35d92b94ef0161c0eccf03f6e7828207ea75875e45c1665a667667f23bNbI9yR9K14MtcS8niYNmV4eq14|getProvince|[{"id_seq":"297ff28d73b2de8a01d5bdd4384811d25c1ad8d33345aef00b40f6170a0950fd6351cb7d9430b576dd6ea34ee629f7252d0c43b270dbabdab6611d2a7528d061iVaaTGAn8n0QWUjps13KzbhqwCJ","name":"DKI JAKARTA"},{"id_seq":"d83d4d820848b73eb389888bd16164abf850d942bcd197729833e85f90ae0a74510f2c2b88394d2fa3ed188e52fa9c1c623aa8a72b31fdbc3686bcaf72499f5ei4VufiIJ39v33OTc8c0bhFps13Q","name":"BANTEN"}]|success get province|::1

200122115108|adminmarga|operator_management/segment/getCity/297ff28d73b2de8a01d5bdd4384811d25c1ad8d33345aef00b40f6170a0950fd6351cb7d9430b576dd6ea34ee629f7252d0c43b270dbabdab6611d2a7528d061iVaaTGAn8n0QWUjps13KzbhqwCJ|getCity|[{"id_seq":"6acbca1242cbb96608b424a2f2592490ca51705cf38dbedf471c49ee987f3b37f2c28ac147eeca2862620bd0b89088666f783f5290b30395623cb69b0b2d5be79e4NBX9vWjnlbeNoM9Pmps132Mb","name":"jakarta barat"},{"id_seq":"131e63364df3cf3c5581794cd0bb81ff4828c16c67bac4aab2a8639aed4d3b75ccc765d290898d3610fb4e4d9ec31ae208f11a267323ce90441df02072c70d99nXidTZyC1ROVRtjtp7NJRDve","name":"jakarta timur"},{"id_seq":"5f5472c85ab798bbe5920772e9eda1fc5205ecebfd5c1a5e4096a0f43d47c911eece1927a7f8faa8eb309b83d4b0c53959f975f673678177ad16db70aa1c0b845k5UoETaEBL1W7ps13CPAySVslm","name":"jakarta selatan"},{"id_seq":"98f618d6c2f48f1001b40fac2adb17bd20f4bc6af93c6d41f6c21ef59b41b47924fa258de3b43184863556a226fd4265326f9a19851543b268ce2efe0430f26bD7zaZQy6KkkdmIN2DbgGgVwU","name":"jakarta utara"}]|success get City|::1

200122115111|adminmarga|operator_management/segment/getPlaza/jakarta%20barat|getProvince|[{"plaza_code":"PLZ10003","plaza_name":"MERUYA UTARA"}]|success get province|::1

200122115151|adminmarga|operator_management/lane/saveLine|ADD LANE|{"plaza_code":"PLZ10003","name":"LINE 1","gate_status":"1","deduct_status":"0","status":1,"created_by":"adminmarga","gate_config":"{\"ip_address\":null,\"mac_address\":null,\"bca\":{\"merchant_id\":\"000885000686575\",\"terminal_id\":\"EPT03071\"},\"bni\":{\"merchant_id\":\"000100214394231\",\"terminal_id\":\"14423137\"},\"bri\":{\"merchant_id\":\"000001987030040\",\"terminal_id\":\"10561680\"},\"mandiri\":{\"merchant_id\":\"000000000640103\",\"terminal_id\":\"01030200\"}}"}|{"code":1,"message":"Data Succesfull Saved"}|::1

200122120159|adminmarga|operator_management/segment/getProvince/62a9266b3703cd1ce9c1f126748bc6aaf40d7dcda3729619a729297419bad8f83b1c2503d28bc2cb622b9a60eaafedae4e24823a01c2910a641dc572295d9e08UUyHps13KOeps13jjIZd791H6rgwweq14|getProvince|[{"id_seq":"8e936db278a26b95eda12c99804c3d2bd68bb36b772c9c3bba7d58e054493b725248c6d8a02140e7f9f111bfe38d660038551a00a7d33c446825c4f6fde82d5b8QjSss11yGOLdXtlZejps133RGLgss11s","name":"DKI JAKARTA"},{"id_seq":"6341e90d3fdda6d07c69ad5bb797e52811a620cb132535b4977da501b8d49b94a91b00e8674f493f35d2e3e4a4b02c40b04b73bae3f945d8b8fe2000d02e1ab2ps13AHkmgCOYps13Zss11X1ss11FDeiNWCpQ","name":"BANTEN"}]|success get province|::1

200122120201|adminmarga|operator_management/segment/getCity/8e936db278a26b95eda12c99804c3d2bd68bb36b772c9c3bba7d58e054493b725248c6d8a02140e7f9f111bfe38d660038551a00a7d33c446825c4f6fde82d5b8QjSss11yGOLdXtlZejps133RGLgss11s|getCity|[{"id_seq":"388061748300c1ad15b59f477891f2beabcedb966519ca921698f8790e923890a465c0a21c65649dc02666f2791ae04168c0f9f7d17893732d8875f584296756dxQxg5q9oOXVLOgjUDtwI1GA","name":"jakarta barat"},{"id_seq":"c5ef38c919c1c0a343b49c379bb4cb7304c6ab970a6b00c2b88f783e2c74c8f893bd4f76282ddb2573ff7251a774217400d42ef8ea9e87a03a71e673d39ca93cTUpyvcsk6u8ps13ueO42zHYcfGA","name":"jakarta timur"},{"id_seq":"eb6ab45cb3514abd96097ba6f25400f03fcac4ddf358618a73bc1fdf9b612a1ade02bd41ec8849a0dedea3ea04691751328d4dc0427153a372e1c6923eb97ca38bD1nZpmWLbq7G8gLnSMps13x5t","name":"jakarta selatan"},{"id_seq":"b98a8d05e26042d04cd2e0ed430395e06e4e808aac6515eb45787bfb8cf67382c0d41bc8664b2be756d4e405f2b02dc10623656685239490631bf46e3494e01eoCA1ps139VtavuNT91Xftz7ueKA","name":"jakarta utara"}]|success get City|::1

